x,y,z,
0.162842,0.842102,0.223694,
0.164429,0.86554,0.20459,
0.166138,0.849304,0.191772,
0.150208,0.838745,0.184937,
0.204041,0.854675,0.173523,
0.241455,0.871643,0.157715,
0.206665,0.897156,0.171814,
0.212769,0.973999,0.202759,
0.236755,1.08344,0.193481,
0.233093,1.12579,0.190247,
0.204163,1.14581,0.193298,
0.2323,1.1817,0.206238,
0.248718,1.24738,0.200378,
0.228333,1.31152,0.230347,
0.143982,1.34503,0.251526,
0.0454712,1.3009,0.255493,
0.0526733,1.16119,0.257385,
0.0274048,0.940552,0.224426,
0.0249634,0.734985,0.174316,
0.0617676,0.654175,0.120605,
0.0897217,0.669373,0.09729,
0.146851,0.761169,0.098938,
0.183289,0.835022,0.0964355,
0.173645,0.865906,0.102844,
0.175781,0.856384,0.117981,
0.136597,0.847351,0.124512,
0.129089,0.865845,0.150269,
0.123108,0.889771,0.179749,
0.122742,0.859192,0.202026,
0.119934,0.805298,0.201477,
0.123169,0.727356,0.19873,
0.17926,0.694824,0.182495,
0.231506,0.710754,0.181396,
0.271545,0.745178,0.200134,
0.32135,0.797852,0.203857,
0.341064,0.823547,0.204163,
0.334656,0.862427,0.210632,
0.329224,0.913635,0.239136,
0.339722,0.967102,0.262939,
0.322388,1.06439,0.271179,
0.303955,1.19775,0.306396,
0.281799,1.30426,0.3573,
0.227844,1.35327,0.371094,
0.178589,1.34662,0.332092,
0.135681,1.27612,0.26709,
0.0879517,1.21716,0.21875,
0.0463257,1.13678,0.236328,
0.0184326,0.952942,0.225098,
0.0261841,0.728271,0.183655,
0.0504761,0.577759,0.147522,
0.111755,0.539795,0.147217,
0.146301,0.629272,0.201111,
0.173462,0.794678,0.265686,
0.191223,0.932678,0.31842,
0.129883,0.956177,0.360657,
0.0508423,0.899414,0.375854,
0.0283813,0.845642,0.362976,
0.0581665,0.845093,0.340698,
0.0743408,0.828369,0.336853,
0.0958252,0.821838,0.314819,
0.108398,0.81189,0.300964,
0.0879517,0.810852,0.289612,
0.0882568,0.807678,0.286255,
0.116333,0.797913,0.296631,
0.136902,0.788147,0.294067,
0.172546,0.797424,0.300171,
0.198425,0.808105,0.314697,
0.182556,0.816711,0.324768,
0.185669,0.836487,0.361938,
0.201965,0.922363,0.382629,
0.218628,1.01025,0.408142,
0.272827,1.10876,0.419312,
0.292236,1.22577,0.44812,
0.277039,1.34308,0.513306,
0.180115,1.43292,0.542908,
0.0646362,1.44019,0.531616,
0.0359497,1.30554,0.486084,
0.0183105,1.04022,0.388123,
-0.00775146,0.774109,0.287537,
-0.00598145,0.619507,0.230347,
0.0324707,0.585144,0.189514,
0.101929,0.64209,0.15509,
0.180054,0.717346,0.122925,
0.215942,0.7995,0.153259,
0.200439,0.866272,0.221069,
0.147339,0.892578,0.255249,
0.0853271,0.906982,0.288086,
0.0629272,0.886719,0.305176,
0.041687,0.826782,0.319092,
0.00274658,0.710999,0.319519,
-0.0178833,0.595093,0.313477,
-0.00714111,0.507263,0.2995,
0.0372314,0.458435,0.268433,
0.0583496,0.454346,0.247437,
0.0458374,0.524902,0.229309,
0.0686035,0.666138,0.240234,
0.0997925,0.813354,0.282593,
0.136536,1.00415,0.326904,
0.131897,1.17395,0.367737,
0.076355,1.28784,0.447083,
0.119934,1.34106,0.460815,
0.145203,1.35162,0.405762,
0.120605,1.39697,0.391174,
0.0961304,1.46185,0.421021,
0.088501,1.41235,0.435425,
0.101257,1.12762,0.378845,
0.0603027,0.874023,0.324951,
0.0636597,0.707214,0.287476,
0.0930786,0.706299,0.296265,
0.14856,0.797424,0.322266,
0.146423,0.851929,0.339172,
0.0825806,0.838074,0.349915,
0.0629883,0.842773,0.357422,
0.0715332,0.869934,0.36261,
0.0879517,0.910095,0.368408,
0.0817871,0.948364,0.369202,
0.0578003,0.980896,0.387207,
-0.00164795,0.98822,0.402832,
-0.0090332,0.987854,0.39325,
-0.0105591,0.987793,0.353333,
0.0192261,0.987549,0.311401,
-0.00689697,0.928406,0.28949,
-0.0375977,0.864319,0.279785,
-0.0579834,0.826233,0.271118,
-0.043396,0.831238,0.281738,
-0.0310669,0.857788,0.290344,
-0.0375366,0.861328,0.309204,
-0.074646,0.843445,0.332336,
-0.083313,0.816956,0.351135,
-0.0369873,0.840027,0.360046,
0.0314941,0.820557,0.369141,
0.071167,0.831238,0.377441,
0.0289917,0.930298,0.43158,
0.00231934,1.07037,0.52887,
-0.0177002,1.16492,0.586731,
-0.0476074,1.10486,0.619324,
-0.0370483,0.950928,0.602173,
0.0220337,0.811279,0.576111,
0.0411377,0.793213,0.53833,
0.0922241,0.868713,0.492371,
0.143738,0.948425,0.436462,
0.202393,0.979492,0.380066,
0.217712,0.968018,0.3396,
0.213989,0.920837,0.346619,
0.18158,0.88324,0.356567,
0.115784,0.817688,0.368774,
0.0776978,0.756348,0.380188,
0.072876,0.700195,0.38208,
0.0860596,0.67981,0.384216,
0.131165,0.686096,0.381165,
0.158386,0.712463,0.379761,
0.170227,0.770813,0.397339,
0.168884,0.819702,0.429016,
0.159241,0.819031,0.447205,
0.158813,0.799744,0.449402,
0.174622,0.800537,0.439453,
0.175354,0.819458,0.436462,
0.193787,0.799988,0.442688,
0.194641,0.781067,0.432739,
0.189331,0.798584,0.429138,
0.194458,0.826843,0.409912,
0.257324,0.815674,0.380249,
0.289246,0.769409,0.350342,
0.299133,0.758789,0.332581,
0.310913,0.800354,0.334412,
0.31897,0.862427,0.36145,
0.32251,0.905396,0.375183,
0.328796,0.886292,0.358337,
0.316345,0.891418,0.355652,
0.287903,0.912842,0.394165,
0.288879,0.944092,0.421021,
0.308289,0.879761,0.423584,
0.286804,0.845764,0.448608,
0.260498,0.871399,0.49176,
0.215027,0.903076,0.539062,
0.175171,0.95636,0.618835,
0.119507,0.896118,0.68512,
-0.0648804,0.812866,0.658936,
-0.0951538,0.830078,0.648926,
0.0284424,0.819397,0.646973,
0.0864868,0.769531,0.643738,
0.0641479,0.620728,0.654114,
-0.0198364,0.45636,0.680603,
-0.114075,0.412292,0.693848,
-0.0773315,0.496582,0.718689,
0.0305786,0.559631,0.734741,
0.0570679,0.617065,0.701965,
0.09375,0.563354,0.703613,
0.0592651,0.476501,0.699402,
0.00286865,0.457092,0.69397,
0.0445557,0.562134,0.685486,
0.106079,0.591248,0.671509,
0.164185,0.513611,0.656433,
0.200745,0.471313,0.650635,
0.153442,0.424255,0.658875,
0.136108,0.415649,0.658142,
0.140137,0.449951,0.66217,
0.169312,0.462341,0.698669,
0.172974,0.458557,0.715393,
0.195251,0.459534,0.712463,
0.184326,0.486389,0.713318,
0.198608,0.559631,0.724976,
0.142639,0.580872,0.772949,
0.143066,0.519043,0.75885,
0.148438,0.472046,0.76239,
0.167236,0.500183,0.775696,
0.18927,0.633057,0.855957,
0.143738,0.660278,0.930359,
0.0648804,0.552734,0.907837,
0.102051,0.451599,0.867493,
0.206848,0.419312,0.86969,
0.248962,0.469604,0.867249,
0.175049,0.572754,0.914734,
0.0418091,0.684875,0.936951,
-0.107056,0.701416,0.886963,
-0.09021,0.554016,0.757812,
0.0323486,0.470032,0.669128,
0.147095,0.48938,0.590088,
0.210083,0.518799,0.613403,
0.199951,0.543762,0.617798,
0.149414,0.527405,0.62616,
0.111023,0.542847,0.629272,
0.119324,0.573059,0.685364,
0.147034,0.597839,0.73584,
0.117798,0.589966,0.742798,
0.0975952,0.577942,0.716064,
0.079834,0.559631,0.659912,
0.0610962,0.518616,0.618958,
0.0860596,0.543701,0.604309,
0.161499,0.572571,0.578186,
0.215088,0.583313,0.570496,
0.186401,0.57135,0.591003,
0.145691,0.522034,0.636292,
0.149658,0.550964,0.677246,
0.17157,0.627686,0.705688,
0.188477,0.674377,0.714661,
0.190002,0.675354,0.690247,
0.182373,0.698792,0.72876,
0.182434,0.669067,0.770874,
0.179749,0.656738,0.806885,
0.199585,0.798828,0.892761,
0.15741,0.715088,0.941711,
0.135925,0.666748,0.980103,
0.062561,0.606995,1.01202,
-0.0405273,0.482422,0.9552,
-0.0702515,0.563477,0.94751,
-0.065979,0.751038,0.925415,
-0.0339966,0.645996,0.762695,
0.0372314,0.426147,0.566345,
0.108887,0.284546,0.446899,
0.0455322,0.340454,0.591919,
